method,j,r,window,trial,arm,S,detected,score,pvalue,jaccard,recall,precision
Poisson-MDSS,3,1.5,2024-Q4,0,injected,"{'placing_basis_group': ['OPEN MARKET'], 'risk_code': ['P2'], 'loss_census_division': ['West South Central']}",False,7.360633488021753,0.875,0.0,0.0,
Poisson-MDSS,3,2.0,2024-Q3,0,clean,"{'peril_type': ['Other Perils - Inland Flood (IF)'], 'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,51.68069671561175,0.8125,,,
Poisson-MDSS,3,2.0,2024-Q3,0,injected,"{'peril_type': ['Other Perils - Inland Flood (IF)'], 'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,96.71192799620705,0.4375,0.07142857142857142,0.3333333333333333,0.08333333333333333
Poisson-MDSS,3,3.0,2023-Q1,0,clean,"{'leader_status': ['FOLLOW'], 'loss_census_division': ['East South Central'], 'new_renewal': ['Renewal']}",False,34.39183790139149,0.5625,,,
Poisson-MDSS,3,3.0,2023-Q1,0,injected,"{'leader_status': ['FOLLOW'], 'loss_census_division': ['East South Central'], 'new_renewal': ['Renewal']}",False,38.65896385739319,0.5,0.16666666666666666,0.6666666666666666,0.1818181818181818
Poisson-MDSS,3,3.0,2023-Q2,0,clean,"{'leader_status': ['FOLLOW'], 'loss_census_division': ['East South Central'], 'new_renewal': ['Renewal']}",False,22.259589749861696,0.5,,,
Poisson-MDSS,3,3.0,2023-Q2,0,injected,"{'leader_status': ['FOLLOW'], 'loss_census_division': ['East South Central'], 'new_renewal': ['Renewal']}",False,63.75220408963315,0.3125,0.2222222222222222,0.6666666666666666,0.25
Poisson-MDSS,3,3.0,2023-Q3,0,clean,"{'leader_status': ['FOLLOW'], 'loss_census_division': ['East South Central'], 'new_renewal': ['Renewal']}",False,46.83747488883782,0.75,,,
Poisson-MDSS,3,3.0,2023-Q3,0,injected,"{'leader_status': ['FOLLOW'], 'loss_census_division': ['East South Central'], 'new_renewal': ['Renewal']}",False,35.504851903677555,0.8125,0.0625,0.3333333333333333,0.07142857142857144
Poisson-MDSS,3,3.0,2024-Q1,0,clean,"{'leader_status': ['FOLLOW'], 'loss_census_division': ['East South Central'], 'new_renewal': ['Renewal']}",False,59.117024195964746,0.5,,,
Poisson-MDSS,3,3.0,2024-Q1,0,injected,"{'leader_status': ['FOLLOW'], 'loss_census_division': ['East South Central'], 'new_renewal': ['Renewal']}",False,50.77547141837484,0.5625,0.15384615384615385,0.6666666666666666,0.16666666666666669
Poisson-MDSS,3,3.0,2024-Q2,0,clean,"{'leader_status': ['FOLLOW'], 'loss_census_division': ['East South Central'], 'new_renewal': ['Renewal']}",False,52.67943519227968,0.4375,,,
Poisson-MDSS,3,3.0,2024-Q2,0,injected,"{'leader_status': ['FOLLOW'], 'loss_census_division': ['East South Central'], 'new_renewal': ['Renewal']}",False,6.844080593698168,0.75,0.06666666666666667,0.3333333333333333,0.07692307692307693
